typeDesordre,Algorithme,Taille,Désordre,Comparaisons,Temps,Affectations,Accès_aux_données
partielleFin,tri_a_bulle,100000,50.0,4999950000,641.90557,625314652,11250529304
partielleAlea,tri_a_bulle,100000,50.0,4999950000,1439.48198,1462056131,12924012262
partielleDebutInverse,tri_a_bulle,100000,50.0,4999950000,4221.27891,4376610986,18753121972
partielleMilieuInverse,tri_a_bulle,100000,50.0,4999950000,4185.28365,4377194369,18754288738
partielleFinInverse,tri_a_bulle,100000,50.0,4999950000,4260.32621,4370728341,18741356682
partielleAleaInverse,tri_a_bulle,100000,50.0,4999950000,3480.58592,3549905094,17099710188
partielleDebut,tri_a_bulle,100000,75.0,4999950000,1353.46905,1403982621,12807865242
partielleMilieu,tri_a_bulle,100000,75.0,4999950000,3457.58192,3598129891,17196159782
partielleFin,tri_a_bulle,100000,75.0,4999950000,1406.26756,1406613164,12813126328
partielleAlea,tri_a_bulle,100000,75.0,4999950000,2029.84967,2032212737,14064325474
partielleDebutInverse,tri_a_bulle,100000,75.0,4999950000,3485.06700,3590400688,17180701376
partielleMilieuInverse,tri_a_bulle,100000,75.0,4999950000,3450.18537,3589158873,17178217746
partielleFinInverse,tri_a_bulle,100000,75.0,4999950000,3534.77882,3596447760,17192795520
partielleAleaInverse,tri_a_bulle,100000,75.0,4999950000,3136.98305,2968476340,15936852680
partielleDebut,tri_fusion,1000000,25.0,11968238,19.91126,39902848,83790748
partielleMilieu,tri_fusion,1000000,25.0,11832739,20.70371,39902848,83519750
partielleFin,tri_fusion,1000000,25.0,11967783,20.24078,39902848,83789838
partielleAlea,tri_fusion,1000000,25.0,18249153,20.18150,39902848,96352578
partielleDebutInverse,tri_fusion,1000000,25.0,11832090,20.22002,39902848,83518452
partielleMilieuInverse,tri_fusion,1000000,25.0,11832557,20.32510,39902848,83519386
partielleFinInverse,tri_fusion,1000000,25.0,11831458,20.21592,39902848,83517188
partielleAleaInverse,tri_fusion,1000000,25.0,18162457,20.24360,39902848,96179186
partielleDebut,tri_fusion,1000000,50.0,14120122,20.37219,39902848,88094516
partielleMilieu,tri_fusion,1000000,50.0,14029296,20.26872,39902848,87912864
partielleFin,tri_fusion,1000000,50.0,14120060,20.26666,39902848,88094392
partielleAlea,tri_fusion,1000000,50.0,18552859,20.24945,39902848,96959990
partielleDebutInverse,tri_fusion,1000000,50.0,14029525,20.22761,39902848,87913322
partielleMilieuInverse,tri_fusion,1000000,50.0,14028871,20.19343,39902848,87912014
partielleFinInverse,tri_fusion,1000000,50.0,14029357,20.27318,39902848,87912986
partielleAleaInverse,tri_fusion,1000000,50.0,18514179,20.27973,39902848,96882630
partielleDebut,tri_fusion,1000000,75.0,16271943,20.12855,39902848,92398158
partielleMilieu,tri_fusion,1000000,75.0,16352420,20.28866,39902848,92559112
partielleFin,tri_fusion,1000000,75.0,16523017,20.38152,39902848,92900306
partielleAlea,tri_fusion,1000000,75.0,18652919,20.68754,39902848,97160110
partielleDebutInverse,tri_fusion,1000000,75.0,16476755,20.33737,39902848,92807782
partielleMilieuInverse,tri_fusion,1000000,75.0,16352146,20.34145,39902848,92558564
partielleFinInverse,tri_fusion,1000000,75.0,16227255,20.25678,39902848,92308782
partielleAleaInverse,tri_fusion,1000000,75.0,18641515,20.35911,39902848,97137302
partielleDebut,tri_par_tas,1000000,25.0,27863085,20.35888,19683398,95092966
partielleMilieu,tri_par_tas,1000000,25.0,25533952,18.96177,18373088,87814080
partielleFin,tri_par_tas,1000000,25.0,27658717,20.42100,19569853,94457140
partielleAlea,tri_par_tas,1000000,25.0,27657912,20.52136,19589483,94494790
partielleDebutInverse,tri_par_tas,1000000,25.0,25403648,19.15414,18484557,87776410
partielleMilieuInverse,tri_par_tas,1000000,25.0,25532594,19.54684,18373182,87811552
partielleFinInverse,tri_par_tas,1000000,25.0,25214497,19.53645,18299525,87028044
partielleAleaInverse,tri_par_tas,1000000,25.0,25794714,19.58913,18550313,88690054
partielleDebut,tri_par_tas,1000000,50.0,27569448,20.38254,19520424,94179744
partielleMilieu,tri_par_tas,1000000,50.0,25727250,20.02571,18431195,88316890
partielleFin,tri_par_tas,1000000,50.0,27240209,20.46137,19361976,93204370
partielleAlea,tri_par_tas,1000000,50.0,27263217,20.14955,19393912,93314258
partielleDebutInverse,tri_par_tas,1000000,50.0,25757967,19.47282,18563729,88643392
partielleMilieuInverse,tri_par_tas,1000000,50.0,25726308,20.73718,18430628,88313872
partielleFinInverse,tri_par_tas,1000000,50.0,25540479,19.25136,18300898,87682754
partielleAleaInverse,tri_par_tas,1000000,50.0,26129453,19.67830,18753431,89765768
partielleDebut,tri_par_tas,1000000,75.0,27116764,19.99835,19253412,92740352
partielleMilieu,tri_par_tas,1000000,75.0,25996619,19.70116,18619840,89232918
partielleFin,tri_par_tas,1000000,75.0,26953122,20.28198,19223178,92352600
partielleAlea,tri_par_tas,1000000,75.0,26917640,20.20300,19215350,92265980
partielleDebutInverse,tri_par_tas,1000000,75.0,26384103,20.90265,18917167,90602540
partielleMilieuInverse,tri_par_tas,1000000,75.0,25995927,27.62409,18619652,89231158
partielleFinInverse,tri_par_tas,1000000,75.0,25779802,19.79124,18455314,88470232
partielleAleaInverse,tri_par_tas,1000000,75.0,26407129,20.02905,18919496,90653250
partielleDebut,tri_par_base,1000000,25.0,999999,6.22320,6000000,31750018
partielleMilieu,tri_par_base,1000000,25.0,999999,6.23861,6000000,31000006
partielleFin,tri_par_base,1000000,25.0,999999,6.24444,6000000,31750015
partielleAlea,tri_par_base,1000000,25.0,999999,6.25161,6000000,31000019
partielleDebutInverse,tri_par_base,1000000,25.0,999999,6.20295,6000000,31000015
partielleMilieuInverse,tri_par_base,1000000,25.0,999999,6.25340,6000000,31000006
partielleFinInverse,tri_par_base,1000000,25.0,999999,6.20842,6000000,31000006
partielleAleaInverse,tri_par_base,1000000,25.0,999999,6.28555,6000000,31000006
partielleDebut,tri_par_base,1000000,50.0,999999,6.18966,6000000,31500024
partielleMilieu,tri_par_base,1000000,50.0,999999,6.16955,6000000,31000006
partielleFin,tri_par_base,1000000,50.0,999999,6.12766,6000000,31500017
partielleAlea,tri_par_base,1000000,50.0,999999,6.23319,6000000,31000026
partielleDebutInverse,tri_par_base,1000000,50.0,999999,6.27483,6000000,31000021
partielleMilieuInverse,tri_par_base,1000000,50.0,999999,6.25880,6000000,31000006
partielleFinInverse,tri_par_base,1000000,50.0,999999,6.23460,6000000,31000006
partielleAleaInverse,tri_par_base,1000000,50.0,999999,6.23770,6000000,31000011
partielleDebut,tri_par_base,1000000,75.0,999999,6.30690,6000000,31250020
partielleMilieu,tri_par_base,1000000,75.0,999999,6.20387,6000000,31000006
partielleFin,tri_par_base,1000000,75.0,999999,6.24922,6000000,31250020
partielleAlea,tri_par_base,1000000,75.0,999999,6.15622,6000000,31000020
partielleDebutInverse,tri_par_base,1000000,75.0,999999,6.16041,6000000,31000020
partielleMilieuInverse,tri_par_base,1000000,75.0,999999,6.20881,6000000,31000006
partielleFinInverse,tri_par_base,1000000,75.0,999999,6.17789,6000000,31000006
partielleAleaInverse,tri_par_base,1000000,75.0,999999,6.25569,6000000,31000011
totalementDesordoné,tri_fusion,100,100.0,546,0.00119,1344,3108
totalementDesordoné,tri_par_tas,100,100.0,689,0.00116,590,2558
totalementDesordoné,tri_par_base,100,100.0,99,0.00068,200,1109
totalementDesordoné,tri_rapide,100,100.0,760,0.00078,66,958
totalementDesordoné,tri_hybride,100,100.0,2878,0.00404,3390,9775
totalementDesordoné,tri_a_bulle,100,100.0,4950,0.00311,2373,14646
totalementDesordoné,tri_insertion,100,100.0,2851,0.00347,2947,8652
totalementDesordoné,tri_fusion,5000,100.0,55214,0.06395,123616,295852
totalementDesordoné,tri_par_tas,5000,100.0,75804,0.05954,57161,265930
totalementDesordoné,tri_par_base,5000,100.0,4999,0.02232,20000,105013
totalementDesordoné,tri_rapide,5000,100.0,67852,0.03570,3326,77830
totalementDesordoné,tri_hybride,5000,100.0,6177430,6.75258,6245397,19424369
totalementDesordoné,tri_a_bulle,5000,100.0,12497500,6.40301,6321769,37638538
totalementDesordoné,tri_insertion,5000,100.0,6191288,6.44580,6196281,18578863
totalementDesordoné,tri_fusion,20000,100.0,260929,0.32471,574464,1383554
totalementDesordoné,tri_par_tas,20000,100.0,362935,0.32171,268395,1262660
totalementDesordoné,tri_par_base,20000,100.0,19999,0.12011,100000,520025
totalementDesordoné,tri_rapide,20000,100.0,342932,0.19168,13312,382868
totalementDesordoné,tri_hybride,20000,100.0,99877422,120.05422,100209268,312665512
totalementDesordoné,tri_a_bulle,20000,100.0,199990000,109.85900,100529946,601039892
totalementDesordoné,tri_insertion,20000,100.0,99987513,104.61990,100007506,299982538
totalementDesordoné,tri_fusion,100000,100.0,1536612,1.81472,3337856,8080008
totalementDesordoné,tri_par_tas,100000,100.0,2163571,1.71128,1575089,7477320
totalementDesordoné,tri_par_base,100000,100.0,99999,0.56276,500000,2600022
totalementDesordoné,tri_rapide,100000,100.0,2229229,1.30515,66726,2429407
totalementDesordoné,tri_hybride,100000,100.0,2495778485,2791.26902,2497786487,7803080213
totalementDesordoné,tri_a_bulle,100000,100.0,4999950000,2446.13997,2500449287,15000798574
totalementDesordoné,tri_insertion,100000,100.0,2496838627,2533.17931,2496938615,7490615880
totalementDesordoné,tri_fusion,1000000,100.0,18673476,20.21150,39902848,97201224
totalementDesordoné,tri_par_tas,1000000,100.0,26619176,19.83559,19048486,91335324
totalementDesordoné,tri_par_base,1000000,100.0,999999,6.16046,6000000,31000022
totalementDesordoné,tri_rapide,1000000,100.0,26123586,13.75179,666989,28124553
